codigo,nombre,tramo,tipo,tiempo,latitud,longitud
0,Puerto,1,0,0,0,0
1,Bellavista,1,0,1,0,0
2,Francia,1,0,3,0,0
3,Barón,1,0,4,0,0
4,Portales,1,0,7,0,0
5,Recreo,2,0,9,0,0
6,Miramar,2,0,11,0,0
7,Viña del Mar,2,0,13,0,0
8,Hospital,2,0,14,0,0
9,Chorrillos,2,0,16,0,0
10,El Salto,2,0,18,0,0
11,Quilpué,3,0,29,0,0
12,El Sol,3,0,31,0,0
13,El Belloto,3,0,33,0,0
14,Las Américas,4,0,35,0,0
15,La Concepción,4,0,37,0,0
16,Villa Alemana,4,0,38,0,0
17,Sargento Aldea,4,0,40,0,0
18,Peñablanca,4,0,42,0,0
19,Limache,5,0,53,0,0
20,Quillota,6,1,53,0,0
21,Limache Viejo,7,1,53,0,0
22,La Calera,8,1,53,0,0
23,Olmué,9,1,12,0,0